Film,Genre,IMDB Rating,IMDB Votes,Budget,Gross
Oppenheimer,"Biography, Drama, History",8.5,517000,100000000,950245530
Barbie,"Adventure, Comedy, Fantasy",7,390000,100000000,1441769400
American Fiction,"Comedy, Drama",7.8,396,,
Poor Things,"Romance, Sci-Fi",8.5,3500,,
Killers of the Flower Moon,"Crime, Drama, History",8,95000,200000000,151813788
The Holdovers,"Comedy, Drama",8.4,6200,,12889285
Maestro,"Biography, Drama, Music",7,1100,,3291
May December,"Comedy, Drama",7.5,2300,,223505
The Zone of Interest,"Drama, History, War",8.1,1300,,
Origin,"Drama, History",5.9,289,,
Past Lives,"Drama, Romance",8,43000,,19905363
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",8.7,302000,150000000,690516673
The Iron Claw,"Biography, Drama, Sport",,,20400000,
Ferrari,"Biography, Drama, History",6.7,1200,110000000,
Air,"Drama, Sport",7.4,151000,90000000,90060106
The Color Purple,"Musical, Drama",,,,
Saltburn,"Comedy, Drama, Thriller",7.5,5600,,6197279
The Taste of Things,"Drama, History, Romance",7.5,997,,
Anatomy of a Fall,"Crime, Drama, Thriller",7.9,16000,6780227,17717664
American Symphony,"Documentary, Biography, Music",8.3,52,,
